"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"SLIDELL, CITY OF (PLANT #2)","LAL047180","SLIDELL","LA","22001280001","440","Land Application","440","","","","Class B"
"ATHOL W W T P","MAL100005","ATHOL","MA","25000062001","334.23","Other Management Practice","","","","334.23","Not Applicable"
"NYC DEPT OF ENVIR PROTECTION","NYL026131","CORONA","NY","36002001001","15860","Other Management Practice, Land Application","2718","","","24530","Not Applicable, Class A"
"WHEELING WPC DIVISION","WVL023230","WHEELING","WV","54003508001","1500","Other Management Practice","","","","1500","Not Applicable"
"CITY OF BELTON","MOL117412","BELTON","MO","29001213001","134.3","Other Management Practice","","","","134.3","Not Applicable"
"CITY OF KEOKUK","IAL042609","KEOKUK","IA","19000429001","2250.4","Land Application","2250.4","","","","Class B"
"MARSHFIELD, TOWN OF","MAL101737","BRANT ROCK","MA","25000097001","298.16","Other Management Practice","","","","298.16","Class A"
"CITY OF CENTERVILLE","IAL027472","CENTERVILLE","IA","19000137001","45.7","Land Application","45.7","","","","Class B"
"ST. LOUIS METROPOLITAN SEWER DISTRICT","MOL127949","VALLEY PARK","MO","29001023005","1906.55","Other Management Practice","","","","1906.55","Not Applicable, Class B"
"CITY OF ODESSA","MOL026379","ODESSA","MO","29001036003","25.55","Land Application","25.55","","","","Class B"
"CHARLESTON CPW/PLUM ISLAND","SCL021229","CHARLESTON","SC","45000266001","5273","Land Application, Other Management Practice","762","","","4511","Class A, Not Applicable"
"NYC DEPT OF ENVIR PROTECTION","NYL026174","CORONA","NY","36002001013","3276","Other Management Practice","","","","3276","Not Applicable"
"BRIGHAM CITY CORPORATION","UTL022365","BRIGHAM CITY","UT","49000002001","516","Land Application","516","","","","Class B, Class A"
"WESTCHESTER COUNTY DEPT ENV FAC","NYL026697","NEW ROCHELLE","NY","36003169005","1784","Incineration","","","1784","",""
"MIRAMAR, CITY OF WWTF","FLL017025","MIRAMAR","FL","12000001022","1555.13","Land Application","1555.13","","","","Class B"
"STOOKEY TOWNSHIP MAIN STP","ILL025232","BELLEVILLE","IL","17000241003","249","Land Application","213","","","","Class B"
"CITY OF FERNANDINA BEACH","FLL027260","FERNANDINA BEACH","FL","12000137001","333.272","Other Management Practice","","","","333.272","Class B"
"NYC DEPT OF ENVIR PROTECTION","NYL026247","CORONA","NY","36002001012","9510","Other Management Practice","","","","9509","Not Applicable"
"CITY OF CHEROKEE","IAL059005","CHEROKEE","IA","19000146001","85.22","Land Application","85.22","","","","Class B"
"NYC DEPT OF ENVIR PROTECTION","NYL026166","CORONA","NY","36002001010","12750","Land Application, Other Management Practice","8938","","","3808","Class A, Class B, Not Applicable"
"CHEMUNG CO ELMIRA SD","NYL035742","ELMIRA","NY","36008001001","623","Other Management Practice","","","","623","Class B"
"CHEMUNG COUNTY SEWER DISTRICTS","NYL036986","ELMIRA","NY","36008002009","216","Other Management Practice","","","","216","Class B"
"SNYDERVILLE BASIN SID (E CNYN)","UTL020001","PARK CITY","UT","49000146001","651.5","Other Management Practice","","","","651.4","Not Applicable"
"SNYDERVILLE BSID-SILVER CREEK","UTL024414","PARK CITY","UT","49000146002","463.9","Other Management Practice","","","","463.8","Not Applicable"
"CITY OF ODESSA","MOL026387","ODESSA","MO","29001036001","37.34","Land Application","37.34","","","","Class B"
"MILLSTADT STP, VILLAGE OF","ILL032514","MILLSTADT","IL","17000249001","70","Other Management Practice","","","","70","Class B"
"HUNTINGDON, CITY OF","WVL023159","HUNTINGTON","WV","54000603001","3325.107","Other Management Practice","","","","3325.107","Not Applicable"
"ESSEX JUNCTION WASTEWATER TREATMENT FACILITY","VTL100111","ESSEX JUNCTION","VT","50000025001","433","Land Application, Other Management Practice","166.11","","","267.02","Class B"
"POTTSTOWN BORO","PAL026786","POTTSTOWN","PA","42000036001","1446.1","Land Application, Other Management Practice","748.6","","","697.5","Class A, Class B, Not Applicable"
"HULL W P C F","MAL101231","HULL","MA","25000075001","173.25","Other Management Practice","","","","173.25","Not Applicable"
"NEWBURGH (C)","NYL026310","NEWBURGH","NY","36003056001","1202.74","Other Management Practice","","","","1202.74","Not Applicable"
"WALLA WALLA WATER RECLAMATION FACILITY","WAL024627","WALLA WALLA","WA","53001365001","490","Land Application","490","","","","Class B"
"EMWD - PERRIS VALLEY RWRF","CAL001102","PERRIS","CA","06008006006","4020.12","Land Application","4020.12","","","","Class B"
"NYC DEPT OF ENVIR PROTECTION","NYL027073","CORONA","NY","36002001007","3717","Land Application, Other Management Practice","3212","","","505","Class A, Class B, Not Applicable"
"EMWD - TEMECULA VALLEY RWRF","CAL000480","PERRIS","CA","06008085001","2817.19","Land Application","2817.19","","","","Class B"
"CITY OF WHITEVILLE","NCL021920","WHITEVILLE","NC","37002408001","69","Land Application","69","","","","Class B"
"CITY OF JEFFERSON CITY","MOL094846","JEFFERSON CITY","MO","29001009001","1225","Land Application","1225","","","","Class B"
"MSD LEMAY WASTEWATER TREATMENT PLANT","MOL025151","ST. LOUIS","MO","29001023002","14378.81","Incineration","","","14378.81","",""
"PLAINFIELD N STP, VILLAGE OF","ILL074373","PLAINFIELD","IL","17000693003","1","Land Application","1104","","","","Class B"
"MWRDGC HANOVER PARK WRP","ILL036137","HANOVER PARK","IL","17000721002","727","Land Application","941","","","","Class B"
"MWRDGC STICKNEY WRP","ILL028053","CICERO","IL","17000721001","111181","Land Application","89396","","","","Class B, Class A EQ"
"HONOLULU WAIANAE WWTP","HIL020109","KAPOLEI","HI","15000003022","309.3","Other Management Practice","","","","309.3","Not Applicable"
"SONOMA VALLEY WWTP","CAL037800","SANTA ROSA","CA","06002069001","2799","Other Management Practice","","","","2799","Not Applicable"
"CITY OF PLANT CITY","FLL026557","PLANT CITY","FL","12000054001","1287","Other Management Practice","","","","1287","Class A"
"HONOLULU HONOULIULI WWTP","HIL020877","KAPOLEI","HI","15000003010","2161.1","Other Management Practice","","","","2161.1","Not Applicable"
"HONOLULU KAILUA WWTP","HIL021296","KAPOLEI","HI","15000003002","594.7","Other Management Practice","","","","594.7","Not Applicable"
"CITY OF BURLINGTON","NCL023868","BURLINGTON","NC","37000101002","2254","Land Application, Other Management Practice","1856","","","398","Class B, Not Applicable"
"NYC DEPT OF ENVIR PROTECTION","NYL026221","CORONA","NY","36002001014","889","Other Management Practice","","","","889","Not Applicable"
"NYC DEPT OF ENVIR PROTECTION","NYL026239","CORONA","NY","36002001004","5859","Other Management Practice","","","","5864","Not Applicable"
"MILL CREEK WWTP -MSD","OHL025461","CINCINNATI","OH","39003369002","27285.8","Incineration, Other Management Practice","","","27242.67","43.13","Not Applicable"
"TOWN OF MOREHEAD CITY","NCL026611","MOREHEAD CITY","NC","37001601001","202.56","Land Application","202.56","","","","Class B"
"LRWU-LITTLE MAUMELLE WWTP","ARL050849","LITTLE ROCK","AR","05000001009","470","Land Application","4808.68","","","","Class A"
"BIGFORK COUNTY WATER AND SEWER","MTL020397","BIGFORK","MT","30000180001","63.06","Land Application, Other Management Practice","60.5","","","2.56","Class B"
"MAYNARD W W T F","MAL101001","MAYNARD","MA","25000205001","334.32","Other Management Practice","","","","334.32","Class A"
"LAS GALLINAS VALLEY STP","CAL037851","SAN RAFAEL","CA","06002108001","407","Surface Disposal","","187","","","Class B"
"STANLY COUNTY","NCL043532","ALBEMARLE","NC","37008405001","82","Land Application","82","","","","Class B"
"DEFUNIAK SPRINGS, CITY OF - WWTP","FLL102440","DEFUNIAK SPRINGS","FL","12000327001","45.4","Land Application","45.4","","","","Class B"
"WESTCHESTER COUNTY DEPT ENV FAC","NYL026701","NEW ROCHELLE","NY","36003169004","3133","Incineration","","","3133","",""
"GAS CITY WWTP","INL022985","GAS CITY","IN","18004533001","66.47","Land Application","66.47","","","","Class B"
"LEBANON, CITY OF","ORL020818","LEBANON","OR","41000071001","457.34","Land Application, Other Management Practice","441.76","","","15.58","Class B, Not Applicable"
"COOS BAY STP NO. 1","ORL023574","COOS BAY","OR","41000055001","425.2","Land Application","460.7","","","","Class B"
"CITY OF COUNCIL BLUFFS","IAL036641","COUNCIL BLUFFS","IA","19000189001","1349.05","Land Application","1349.05","","","","Class B"
"LYNNWOOD STP","WAL024031","LYNNWOOD","WA","53000715001","1310","Incineration, Other Management Practice","","","1310","88.4","Not Applicable"
"WABASH WWTP","INL024741","WABASH","IN","18002210001","1071.1","Other Management Practice","","","","1071.1","Class B"
"TRI-MUNICIPAL SEWER COMMISSION","NYL149209","WAPPINGERS FALLS","NY","36003020002","507","Land Application","507","","","","Class A EQ"
"NORTHERN KY SANITATION DISTRICT 1","KYL021466","VILLA HILLS","KY","21000056001","28184","Other Management Practice","","","","28184","Not Applicable"
"UPPER OCCOQUAN S.A. (UOSA)","VAL024988","CENTREVILLE","VA","51000334001","5857","Land Application, Other Management Practice","5785","","","72","Class A EQ, Not Applicable"
"SARALAND CITY OF","ALL055786","SARALAND","AL","01000150001","93.43","Land Application","93.43","","","","Class B"
"MAHANOY CITY MUNICIPAL AUTHORI","PAL070041","MAHANOY CITY","PA","42007560001","98","Other Management Practice","","","","98","Class B"
"TOWN OF SPENCER SEWER COMMISSION","MAL100919","SPENCER","MA","25000223001","277.93","Other Management Practice","","","","277.93","Not Applicable"
"CURWENSVILLE MUNICIPAL AUTHORI","PAL024759","CURWENSVILLE","PA","42006010001","46.79","Other Management Practice","","","","46.79","Class B"
"EASTERN REGIONAL STP","KYL105031","FORT WRIGHT","KY","21000056006","1717","Other Management Practice","","","","1717","Not Applicable"
"CITY OF GREENSBORO","NCL047384","GREENSBORO","NC","37004102003","9512.7","Incineration","","","9512.7","",""
"WILDERNESS SHORES","VAL083411","LOCUST GROVE","VA","51001400069","324","Land Application","144","","","","Class B"
"ROAMINGWOOD SEWER AND WATER ASSOCIATION","PAL033430","LAKE ARIEL","PA","42008001202","38.479","Other Management Practice","","","","38.479","Class B"
"WESTERN REGIONAL WATER RECLAMATION FACILITY","KYL107239","PETERSBURG","KY","21000056004","17302","Other Management Practice","","","","17302","Not Applicable"
"EVANSVILLE EAST WWTP","INL033073","EVANSVILLE","IN","18000851001","3161.37","Other Management Practice","","","","3161.37","Class B"
"GUN LAKE GAMING/ENTERTAINMENT","MIL058661","WAYLAND","MI","26002147001","26","Land Application","","","","","Class B"
"FLORENCE/MAIN PLANT","SCL045462","FLORENCE","SC","45000275001","1529.54","Surface Disposal","","1529.54","","","Class B"
"LOUISVILLE CITY OF","COL023078","LOUISVILLE","CO","08000364001","400.83","Other Management Practice","","","","400.83","Class B"
"NYC DEPT OF ENVIR PROTECTION","NYL026522","GRAHAMSVILLE","NY","36003062003","384","Other Management Practice","","","","384","Class B"
"CITY OF EMMETSBURG","IAL021580","EMMETSBURG","IA","19000277001","39.16","Land Application","39.16","","","","Class B"
"HARRISONBURG-ROCKINGHAM RSA","VAL060640","MOUNT CRAWFORD","VA","51000158001","3111","Land Application, Other Management Practice","1018","","","1281","Class A EQ, Class B"
"CITY OF WENTZVILLE","MOL093599","WENTZVILLE","MO","29001239002","552","Land Application","552","","","","Class B"
"FRASER TOWN OF","COL040142","FRASER","CO","08000204001","154.06","Other Management Practice","","","","154.06","Not Applicable"
"NORTH BROOKFIELD W W T P","MAL101061","NORTH BROOKFIELD","MA","25000164001","154.356","Other Management Practice","","","","154.356","Not Applicable"
"PRICE R WATER IMP DIST","UTL021814","WELLINGTON","UT","49000132001","190","Land Application","190","","","","Class B"
"CITY OF MUSCATINE","IAL023434","MUSCATINE","IA","19000598001","1290","Land Application","1290","","","","Class B"
"NEW CASTLE WWTF","COL590062","NEW CASTLE","CO","08209000083","66.22","Land Application, Other Management Practice","8.68","","","58.38","Class B"
"ANDOVER, CITY OF","KSL092720","ANDOVER","KS","20001601001","154.42","Land Application","154.42","","","","Class B"
"HANOVER SEWERAGE AUTHORITY","NJL024902","WHIPPANY","NJ","34001043001","375","Other Management Practice","","","","375","Not Applicable"
"DELTA DIABLO WWTP","CAL038547","ANTIOCH","CA","06002023001","3130.19","Land Application","3130.19","","","","Class B"
"ASTORIA, CITY OF","ORL027561","ASTORIA","OR","41000054001","0","Other Management Practice","","","","","Not Applicable"
"ST. HELENS STP/BOISE CASCADE","ORL020834","ST HELENS","OR","41000076001","0","Other Management Practice","","","","","Not Applicable"
"CALEXICO, CITY OF","CAL000009","CALEXICO","CA","06007005001","226.3","Other Management Practice","","","","226.3","Class B"
"SCITUATE_WWTP","MAL102695","SCITUATE","MA","25000019001","279.776","Other Management Practice","","","","279.776","Not Applicable"
"HOT SPRINGS, CITY OF","SDL022918","HOT SPRINGS, CITY OF","SD","46000004001","27.38","Other Management Practice","","","","27.38","Class B"
"GALESBURG SD STP","ILL023141","GALESBURG","IL","17000627001","264","Land Application","354","","","","Class B"
"CITY OF ST. JOSEPH","MOL023043","ST. JOSEPH","MO","29001022001","1442.66","Land Application, Other Management Practice","415.09","","","1027.57","Class A, Class B"
"PWC/FAYETTEVILLE","NCL050105","FAYETTEVILLE","NC","37002601002","1639","Land Application","1639","","","","Class B"
"PRASA AIBONITO WWTP","PRL025461","AIBONITO","PR","72000005006","134.01","Other Management Practice","","","","134.01","Class B"
"PRASA - BARRANQUITAS WWTP","PRL025861","BARRANQUITAS","PR","72000005004","66.21","Other Management Practice","","","","66.21","Class B"
"NEW IBERIA, CITY OF - TETE BAYOU WWTP","LAL065251","NEW IBERIA","LA","22000950003","224.25","Land Application","735.13","","","","Class B"
"PRASA ADJUNTAS","PRL020214","ADJUNTAS","PR","72000004009","9.45","Other Management Practice","","","","9.45","Class B"
"LEWISTON-AUBURN WATER POLLUTIO","MEL101478","LEWISTON","ME","23000011001","1036","Other Management Practice","","","","1037","Class B"
"POLK RUN WWTP - MSD","OHL020419","CINCINNATI","OH","39004620002","811.17","Other Management Practice","","","","811.17","Not Applicable"
"UNKNOWN","COL026387","ASPEN","CO","08000092001","208","Land Application","208","","","","Class A"
"GSW&SA/SCHWARTZ, MYRTLE BEACH","SCL037753","CONWAY","SC","45000227001","3303","Land Application, Other Management Practice","1456","","","1846","Class B, Class A"
"LAGUNA CSD WRF","CAL000404","SANTA MARIA","CA","06003049001","152","Other Management Practice","","","","152","Class A"
"NEW IBERIA, CITY OF","LAL120201","NEW IBERIA","LA","22000950001","729.11","Land Application","735.13","","","","Class B"
"VANCOUVER WEST STP","WAL024350","VANCOUVER","WA","53001350001","7640.5","Incineration","","","7480.7","",""
"CITY OF PORTLAND","TNL021865","PORTLAND","TN","47001145001","188","Land Application","188","","","","Class B"
"TAYLOR CREEK WWTP -- MSD","OHL040983","CINCINNATI","OH","39003369005","531.11","Other Management Practice","","","","531.11","Not Applicable"
"PARSIPPANY TROY HILLS","NJL024970","PARSIPPANY","NJ","34001347001","2944.88","Other Management Practice","","","","2944.88","Not Applicable"
"STOCKTON RWCF","CAL079138","STOCKTON","CA","06005025001","6083.89","Land Application","6083.89","","","","Class B"
"SAN CLEMENTE WRP","CAL000456","SAN CLEMENTE","CA","06009038001","1056.82","Other Management Practice","","","","1056.82","Not Applicable"
"PRASA - CAGUAS RWWTP","PRL025976","CAGUAS","PR","72000006003","2074.36","Other Management Practice","","","","2074.36","Class B"
"PRASA GUANICA","PRL020486","GUANICA","PR","72000004010","45.82","Other Management Practice","","","","45.82","Class B"
"TOWN OF DAVIE","FLL040541","DAVIE","FL","12000001031","296.83","Land Application","296.83","","","","Class B"
"PRASA GUAYANILLA","PRL020494","GUAYANILLA","PR","72000004003","111.13","Other Management Practice","","","","111.13","Class B"
"FRISCO SANITATION DISTRICT","COL020451","FRISCO","CO","08000196001","174","Land Application","174","","","","Class A"
"PRASA LAJAS","PRL020575","LAJAS","PR","72000003004","108.82","Land Application","108.82","","","","Class A EQ"
"CITY OF LINCOLNTON","NCL025496","LINCOLNTON","NC","37005501001","620","Land Application, Other Management Practice","552","","","68","Class B"
"PRASA LAS MARIAS","PRL020583","LAS MARIAS","PR","72000004011","2.63","Land Application","2.63","","","","Class A EQ"
"ANDERSON/GENEROSTEE CREEK","SCL023752","ANDERSON","SC","45000237001","398.14","Land Application","614.4","","","","Class B"
"LITTLE ROCK, CITY OF-FOURCHE CREEK WWTP","ARL040177","LITTLE ROCK","AR","05000001001","2542.73","Land Application","4808.68","","","","Class A"
"JACKSON POTW - SAVANNA STREET","MSL024295","JACKSON","MS","28000615001","3859.7","Land Application, Other Management Practice","3466.5","","","393.2","Class B"
"PANA STP, CITY OF","ILL022314","PANA","IL","17001204003","81.9","Land Application","89.64","","","","Class B"
"CITY OF ADAIRSVILLE (NORTH WPCP)","GAL046035","ADAIRSVILLE","GA","13000999007","103","Land Application","98.25","","","","Class B"
"YORK CITY_SEWER AUTHORITY STP","PAL026263","YORK COUNTY","PA","42003167001","1421.92","Land Application","1421.92","","","","Class B"
"PWC/FAYETTEVILLE","NCL023957","FAYETTEVILLE","NC","37002601001","2977","Other Management Practice, Land Application","2503","","","475","Class B"
"IRONHOUSE SANITARY DISTRICT WWTP","CAL085260","OAKLEY","CA","06002090001","551.95","Land Application","551.95","","","","Class B"
"WILSONVILLE, CITY OF","ORL022764","WILSONVILLE","OR","41000013001","407.88","Land Application","345.51","","","","Class A EQ"
"JACKSON POTW - TRAHON/BIG CREEK","MSL044059","JACKSON","MS","28001617501","244.24","Land Application","244.24","","","","Class B"
"BOULDER CITY OF","COL024147","BOULDER","CO","08000034003","1514.51","Other Management Practice","","","","1514.51","Class B"
"TAUNTON W W T P","MAL100897","TAUNTON","MA","25000093001","1606","Other Management Practice","","","","1606","Not Applicable"
"CITY OF VIENNA","GAL020167","VIENNA","GA","13000185001","141.39","Land Application, Other Management Practice","100.25","","","41.14","Class B"
"TAFUNA WWTP","ASL020010","PAGO PAGO","AS","60000001002","315","Other Management Practice","","","","315","Class A"
"OSWEGO (C)","NYL029106","OSWEGO","NY","36007189001","310","Other Management Practice","","","","310","Not Applicable"
"UTULEI STP","ASL020001","PAGO PAGO","AS","60000001001","125","Other Management Practice","","","","125","Class A"
"PRASA CAYEY RWWTP","PRL025356","BO.RINCON OF CIDRA","PR","72000005003","416.26","Other Management Practice","","","","416.26","Class B"
"PRASA COMERIO WASTE WATER TREA","PRL025658","COMERIO","PR","72000005005","18.37","Other Management Practice","","","","18.37","Class B"
"PRASA - FAJARDO WWTP","PRL026484","AGUAS BUENAS","PR","72000006002","349.85","Other Management Practice","","","","349.85","Class B"
"PRASA VIEQUES WWTP","PRL025453","FAJARDO","PR","72000006004","17.19","Other Management Practice","","","","17.19","Class B"
"PRASA YABUCOA STP","PRL021717","YABUCOA","PR","72000005011","56.98","Other Management Practice","","","","56.98","Class B"
"PRASA COROZAL","PRL020451","COROZAL","PR","72000002008","19.22","Other Management Practice","","","","19.22","Class B"
"PRASA CIALES","PRL020427","CIALES","PR","72000002007","46.5","Other Management Practice","","","","46.5","Class B"
"NEW ORLEANS PAR-WESTBANK STP","LAL038105","NEW ORLEANS","LA","22009071004","1788","Other Management Practice","","","","1788","Not Applicable"
"PRASA MARICAO","PRL020648","MARICAO","PR","72000004012","13.84","Land Application","13.84","","","","Class A EQ"
"PRASA MAUNABO WWTP","PRL020656","MAUNABO","PR","72000005002","36.43","Other Management Practice","","","","36.43","Class B"
"PRASA OROCOVIS","PRL020745","OROCOVIS","PR","72000004007","12.23","Other Management Practice","","","","12.23","Class B"
"SOCWA J. B. LATHAM TP","CAL107417","DANA POINT","CA","06009019001","2173.1","Other Management Practice","","","","2173.1","Not Applicable"
"ERVING CENTER WWTP  2","MAL101052","ERVING","MA","25000158002","13918","Land Application","3376","","","","Class B"
"PRASA - PENUELAS WWTP","PRL020761","PENUELAS","PR","72000004002","16.8","Other Management Practice","","","","16.8","Class B"
"PRASA PONCE STP","PRL021563","PONCE","PR","72000004001","212.62","Other Management Practice","","","","212.62","Class B"
"PRASA YAUCO STP","PRL021661","YAUCO","PR","72000004013","0","Other Management Practice","","","","","Class B"
"PRASA SANTA ISABEL","PRL023761","SANTA ISABEL","PR","72000004006","638.87","Other Management Practice","","","","638.87","Class B"
"PRASA SAN GERMAN","PRL020818","SAN GERMAN","PR","72000003003","298.31","Land Application","298.31","","","","Class A EQ"
"PRASA ISABELA","PRL022250","ISABELA","PR","72000002002","93.83","Land Application","93.83","","","","Class A EQ"
"PRASA AGUADILLA RWWTP","PRL023736","SANTURCE","PR","72000003001","567.02","Land Application","567.02","","","","Class A EQ"
"PRASA ARECIBO RWWTP","PRL023710","SANTURCE","PR","72000002001","648.87","Land Application","648.87","","","","Class A EQ"
"PRASA CAMUY","PRL023744","SANTURCE","PR","72000002004","136.49","Land Application","136.49","","","","Class A EQ"
"PRASA GUAYAMA REGIONAL WWTP","PRL025445","GUAYAMA","PR","72000005001","256.63","Other Management Practice","","","","256.63","Class B"
"PRASA LARES WWTP","PRL025879","LARES","PR","72000002006","56.4","Other Management Practice","","","","56.4","Class B"
"PRASA - JAYUYA (NEW) WWTP","PRL026531","JAYUYA","PR","72000002009","19.1","Other Management Practice","","","","19.1","Class B"
"PRASA - UTUADO NEW WWTPT","PRL026603","UTUADO","PR","72000002005","43.41","Land Application","43.41","","","","Class A EQ"
"PRASA SAN SEBASTIAN WWTP","PRL025551","SAN SEBASTIAN","PR","72000003011","40.31","Other Management Practice","","","","40.31","Class B"
"WESTCHESTER CO DEPT ENV FAC","NYL100803","NEW ROCHELLE","NY","36003169008","496.16","Incineration","","","496.15","",""
"SILICON VALLEY CLEAN WATER","CAL038369","REDWOOD CITY","CA","06002125001","3751","Land Application, Other Management Practice","2183.54","","","165.83","Class B"
"WESTCHESTER CO DEPT OF ENV FAC","NYL026786","NEW ROCHELLE","NY","36003169009","804","Incineration","","","804","",""
"COLD SPRING","MNL023094","COLD SPRING","MN","27000286001","183","Land Application","183","","","","Class B"
"SMITHVILLE STP","TNL065358","SMITHVILLE","TN","47001315001","19.06","Land Application","19.06","","","","Class B"
"ANDERSON/ROCKY RIVER","SCL023744","ANDERSON","SC","45000237002","498.34","Land Application","921.6","","","","Class B"
"ELKTON WASTERWATER TREATMENT","MDL020681","ELKTON","MD","24000026001","448","Land Application","448","","","","Class A"
"WESTCHESTER CO DEPT ENV FAC","NYL026719","NEW ROCHELLE","NY","36003169001","511","Incineration","","","511","",""
"AZTEC, CITY OF - WWTP","NML020168","AZTEC","NM","35000104001","74","Other Management Practice","","","","74","Not Applicable"
"BUCKMAN BIOSOLIDS TREATMENT FACILITY (BTF)","FLL188077","JACKSONVILLE","FL","12000016001","16612.4","Land Application, Other Management Practice","10879.9","","","5732.5","Class A, Class B, Not Applicable"
"SALIDA CITY OF","COL040339","SALIDA","CO","08000084001","157","Land Application","157","","","","Class A"
"RICHLAND POTW","WAL020419","RICHLAND","WA","53001080001","746","Land Application","746","","","","Class A EQ"
"PRASA DORADO","PRL020460","DORADO","PR","72000001003","93.67","Land Application","93.67","","","","Class A"
"PRASA MOROVIS","PRL020711","MOROVIS","PR","72000003008","33.67","Other Management Practice","","","","33.67","Class B"
"PRASA NARANJITO","PRL020737","NARANJITO","PR","72000003009","61.58","Other Management Practice","","","","61.58","Class B"
"PRASA TOA ALTA WWTP","PRL020869","TOA ALTA","PR","72000002012","14.41","Land Application","14.41","","","","Class A"
"PRASA CAROLINA RWWTP","PRL023752","SAN JUAN","PR","72000001004","366.08","Other Management Practice","","","","366.08","Class B"
"PRASA VEGA ALTA","PRL020923","VEGA ALTA","PR","72000002010","65.54","Other Management Practice, Land Application","44.94","","","20.6","Class B, Class A"
"PRASA BARCELONETA","PRL021237","BARCELONETA","PR","72000002003","112.32","Land Application","112.32","","","","Class A"
"PRASA VEGA BAJA STP","PRL021679","VEGA BAJA","PR","72000003010","305.3","Other Management Practice, Land Application","266.56","","","38.74","Class B, Class A"
"ORLANDO - CONSERV II WRF","FLL010814","ORLANDO","FL","12000037015","8027.5","Land Application","8027.5","","","","Class A EQ"
"MECHANICSBURG BOROUGH MUNICIPA","PAL020885","MECHANICSBURG","PA","42003025001","114.4","Land Application","114.4","","","","Class A"
"NEWPORT, CITY OF","ORL044571","NEWPORT","OR","41000073001","696","Land Application","696","","","","Class A EQ"
"ORLANDO, CITY OF","FLL037966","ORLANDO","FL","12000037001","6160.7","Other Management Practice","","","","6160.7","Not Applicable"
"QUONSET POINT WWTF","RIL100404","NORTH KINGSTOWN","RI","44000042001","236.07","Other Management Practice","","","","236.07","Not Applicable"
"HAYS, CITY OF","KSL036684","HAYS","KS","20001117002","668","Land Application","504","","","","Class B"
"TWO RIVERS WATER RECLAMATION A","NJL026735","MONMOUTH BEACH","NJ","34002076001","1798.92","Land Application, Incineration","284.51","","1501.75","","Class A"
"CITY OF ALGONA","IAL022055","ALGONA","IA","19000015001","63.34","Land Application","63.34","","","","Class B"
"YREKA WWTP","CAL010509","YREKA","CA","06001042001","128.48","Other Management Practice","","","","128.48","Class B"
"CITY OF GRINNELL","IAL031186","GRINNELL","IA","19000352001","171.06","Land Application","171.06","","","","Class B"
"CLINTON SD STP","ILL023612","CLINTON","IL","17009301001","15.4","Other Management Practice","","","","15.4","Class B"
"PORTALES, CITY OF - WWTP","NML000008","PORTALES","NM","35200900504","17.5","Other Management Practice","","","","17.15","Class A"
"HORNELL (C)","NYL023647","HORNELL","NY","36008081001","291.1","Land Application","291.1","","","","Class B"
"ORO LOMA WWTF","CAL000484","SAN LORENZO","CA","06002052001","4991.88","Land Application","7410.13","","","","Class A"
"GWA HAGATNA WWTP","GUL020087","MANGILAO","GU","66000001002","214","Other Management Practice","","","","214","Not Applicable"
"GWA NORTHERN DISTRICT WWTP","GUL020141","MANGILAO","GU","66000001003","367","Other Management Practice","","","","367","Not Applicable"
"GUAM WATERWORKS AUTHORITY","GUL020222","HAGATNA","GU","66000001001","57","Other Management Practice","","","","57","Not Applicable"
"SANTA MARIA WWTP","CAL000405","SANTA MARIA","CA","06003040001","1307.77","Other Management Practice","","","","3292.95","Class B"
"HOPEWELL STP CITY OF","VAL066630","HOPEWELL","VA","51000238001","8623","Incineration","","","8623","",""
"NORTH HAVEN WPCF","CTL100404","NORTH HAVEN","CT","09001010001","363","Incineration","","","363","",""
"CONNERSVILLE WWTP","INL032336","CONNERSVILLE","IN","18002040001","392.8","Other Management Practice, Land Application","273.7","","","59.6","Class B"
"HAMMONTON WTPF","NJL025160","HAMMONTON","NJ","34004230001","282.7","Incineration","","","282.7","",""
"WALKER, TOWN OF","LAL059951","WALKER","LA","22001390001","351.6","Land Application","351.6","","","","Class A EQ"
"CITY OF AURORA","MOL036757","AURORA","MO","29001033001","85.56","Land Application","104.12","","","","Class B"
"EAST WINDSOR WPCF","CTL100196","EAST WINDSOR","CT","09000470001","176.5","Land Application","176.5","","","","Class B"
"HOLIDAY PARK STP","PAL035360","PITTSBURGH","PA","42005387003","108.18","Other Management Practice","","","","108.18","Class B"
"PRINCESS ANNE WWTP","MDL020656","PRINCESS ANNE","MD","24000065001","235.4","Other Management Practice","","","","235.4","Class B"
"MONTAGUE WPCF","MAL100137","MONTAGUE","MA","25000212001","943.54","Other Management Practice","","","","943.54","Not Applicable"
"LYNN REGIONAL WPCF","MAL100552","LYNN","MA","25000002001","4232","Incineration","","","4232","",""
"S DAVIS CO SEWER-NORTH","UTL021636","WEST BOUNTIFUL","UT","49000091001","1683","Land Application","1307","","","","Class B"
"SAN LEANDRO WPCP","CAL237869","SAN LEANDRO","CA","06002042001","1113","Land Application","331.68","","","","Class B"
"MON VALLEY SEWAGE AUTHORITY","PAL026158","DONORA","PA","42005097001","266.51","Land Application","266.51","","","","Class B"
"HARTFORD WPCP","CTL000004","HARTFORD","CT","09000641001","32220","Incineration","","","32220","",""
